上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,3日涨%,10日涨%,净买万,换手%,20日涨%,RSI
2019-01-29,TCL中环,002129,2019-01-30,6.31,2019-01-31,6.46,2.43,8.13,23.79,7256.0,3.9,12.7,69.9
2019-09-27,广电运通,002152,2019-09-30,7.44,2019-10-08,7.61,2.26,8.45,-1.19,8547.0,3.4,17.9,63.6
2019-11-01,潍柴动力,000338,2019-11-04,10.57,2019-11-05,10.72,1.42,0.76,2.37,36490.0,3.8,13.5,60.5
2020-05-11,徐工机械,000425,2020-05-12,5.58,2020-05-13,5.55,-0.62,-2.64,-5.28,33486.0,4.1,12.1,71.9
2020-06-18,建设机械,600984,2020-06-19,16.2,2020-06-22,16.12,-0.49,4.57,0.74,5555.0,3.7,22.3,67.2
2020-07-01,泸州老窖,000568,2020-07-02,86.33,2020-07-03,92.74,7.42,13.18,13.41,48454.0,3.0,12.3,58.7
2020-09-08,友阿股份,002277,2020-09-09,5.31,2020-09-10,4.72,-11.21,-13.46,-9.72,6699.0,3.8,15.1,73.5
2021-11-04,东山精密,002384,2021-11-05,23.98,2021-11-08,23.75,-0.96,5.25,2.79,16297.0,4.6,13.0,73.0
2022-01-04,钒钛股份,000629,2022-01-05,4.3,2022-01-06,4.26,-0.93,2.33,-8.6,17903.0,4.9,12.3,62.5
2022-08-30,长飞光纤,601869,2022-08-31,41.49,2022-09-01,38.51,-7.18,7.3,-5.83,10484.0,3.3,24.8,69.1
2022-11-03,沪电股份,002463,2022-11-04,12.22,2022-11-07,12.47,2.05,-1.88,4.5,9931.0,4.7,20.9,74.5
2022-12-22,中公教育,002607,2022-12-23,5.7,2022-12-26,5.6,-1.75,-16.49,-14.04,8356.0,3.7,12.0,68.1
2023-02-10,新华医疗,600587,2023-02-13,21.08,2023-02-14,21.54,2.18,-0.05,-1.19,14518.0,4.2,24.5,70.1
2023-10-20,白云电器,603861,2023-10-23,10.11,2023-10-24,11.46,13.35,-0.49,-1.98,8384.0,4.9,18.5,65.9
2024-04-11,厦工股份,600815,2024-04-12,2.86,2024-04-15,2.86,0.0,-16.08,-22.38,5455.0,3.8,14.8,75.0
2024-06-17,领益智造,002600,2024-06-18,5.58,2024-06-19,5.58,0.0,1.61,18.46,11046.0,4.7,16.2,75.9
2024-08-12,以岭药业,002603,2024-08-13,16.99,2024-08-14,17.0,0.06,-4.36,-15.42,5994.0,3.5,14.2,75.7
2025-03-12,横店东磁,002056,2025-03-13,13.9,2025-03-14,14.34,3.17,8.2,4.03,12777.0,4.9,15.8,81.1
2025-04-01,科伦药业,002422,2025-04-02,34.93,2025-04-03,35.89,2.75,-4.75,-5.07,14006.0,3.1,12.8,76.1
2025-05-12,新大陆,000997,2025-05-13,31.29,2025-05-14,29.99,-4.15,-6.39,-4.99,5367.0,4.9,13.9,68.4
2025-05-29,远东股份,600869,2025-05-30,5.28,2025-06-03,4.99,-5.49,-4.92,-7.58,5986.0,4.2,13.2,64.8
2025-06-19,电科网安,002268,2025-06-20,17.63,2025-06-23,16.99,-3.63,3.18,-0.68,15253.0,4.6,14.6,73.1
2025-06-20,西藏城投,600773,2025-06-23,9.89,2025-06-24,9.79,-1.01,0.71,1.62,5890.0,4.4,12.0,84.9
2025-06-20,赛伍技术,603212,2025-06-23,11.66,2025-06-24,10.69,-8.32,2.92,8.15,9996.0,3.5,12.5,79.0
2025-07-24,海南机场,600515,2025-07-25,4.4,2025-07-28,4.15,-5.68,-7.5,-12.05,9545.0,3.2,19.0,75.4
2025-07-25,飞乐音响,600651,2025-07-28,4.98,2025-07-29,4.89,-1.81,14.46,35.34,5591.0,4.0,13.7,80.0
2025-07-29,福斯特,603806,2025-07-30,14.79,2025-07-31,14.57,-1.49,-3.65,-6.02,13971.0,4.6,13.1,57.1
2025-12-19,中国一重,601106,2025-12-22,4.0,2025-12-23,4.2,5.0,3.5,11.75,14561.0,3.1,26.0,67.1
2026-01-12,金隅集团,601992,2026-01-13,2.1,2026-01-14,2.34,11.43,-9.52,-3.81,9414.0,3.1,18.3,77.6
2026-02-02,卫星化学,002648,2026-02-03,22.02,2026-02-04,22.24,1.0,1.09,4.13,25221.0,4.1,23.5,68.1
2026-03-17,酒钢宏兴,600307,2026-03-18,2.27,2026-03-19,2.4,5.73,-8.81,-12.78,21852.0,3.2,17.6,62.3
2026-04-21,苏州高新,600736,2026-04-22,7.32,2026-04-23,8.37,14.34,4.51,35.38,6465.0,4.3,19.1,71.4
