上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,3日涨%,10日涨%,净买万,换手%,20日涨%,RSI
2018-05-14,双鹭药业,002038,2018-05-15,28.88,2018-05-16,29.25,1.28,-3.4,-1.38,16305.0,3.5,17.9,72.2
2019-01-29,TCL中环,002129,2019-01-30,6.31,2019-01-31,6.46,2.43,8.13,23.79,7256.0,3.9,12.7,69.9
2019-01-30,航天发展,000547,2019-01-31,9.72,2019-02-01,9.49,-2.33,-0.61,1.42,5449.0,3.7,30.1,67.9
2019-04-30,正邦科技,002157,2019-05-06,19.85,2019-05-07,19.44,-2.04,-17.11,-17.63,13444.0,4.4,24.6,65.2
2019-07-05,金达威,002626,2019-07-08,12.01,2019-07-09,12.14,1.09,2.46,0.72,5385.0,3.4,19.4,84.0
2019-09-23,北方华创,002371,2019-09-24,58.65,2019-09-25,59.99,2.28,-13.54,-19.01,11886.0,4.7,25.9,70.0
2019-09-27,广电运通,002152,2019-09-30,7.44,2019-10-08,7.61,2.26,8.45,-1.19,8547.0,3.4,17.9,63.6
2019-11-01,潍柴动力,000338,2019-11-04,10.57,2019-11-05,10.72,1.42,0.76,2.37,36490.0,3.8,13.5,60.5
2019-11-13,北方华创,002371,2019-11-14,58.57,2019-11-15,57.88,-1.18,-2.94,-3.38,13684.0,3.9,19.9,76.4
2019-12-25,太极实业,600667,2019-12-26,7.89,2019-12-27,7.93,0.58,-5.7,-2.44,6505.0,4.3,23.3,68.1
2020-02-26,北方华创,002371,2020-02-27,117.59,2020-02-28,110.24,-6.25,-11.57,-21.25,5353.0,3.5,33.9,63.1
2020-05-06,海航科技,600751,2020-05-07,3.28,2020-05-08,3.18,-3.05,-5.18,-5.18,5014.0,3.8,14.5,59.4
2020-05-11,徐工机械,000425,2020-05-12,5.58,2020-05-13,5.55,-0.62,-2.64,-5.28,33486.0,4.1,12.1,71.9
2020-06-18,建设机械,600984,2020-06-19,16.2,2020-06-22,16.12,-0.49,4.57,0.74,5555.0,3.7,22.3,67.2
2020-07-01,泸州老窖,000568,2020-07-02,86.33,2020-07-03,92.74,7.42,13.18,13.41,48454.0,3.0,12.3,58.7
2020-07-03,乐普医疗,300003,2020-07-06,37.54,2020-07-07,37.74,0.53,7.06,5.41,44338.0,4.5,17.5,80.5
2020-09-08,友阿股份,002277,2020-09-09,5.31,2020-09-10,4.72,-11.21,-13.46,-9.72,6699.0,3.8,15.1,73.5
2020-10-29,金风科技,002202,2020-10-30,11.21,2020-11-02,10.91,-2.73,-1.82,-2.73,52131.0,4.9,18.5,61.5
2020-11-05,天赐材料,002709,2020-11-06,20.19,2020-11-09,20.47,1.39,1.39,3.17,11696.0,3.3,32.5,62.2
2021-10-11,三七互娱,002555,2021-10-12,18.83,2021-10-13,18.09,-3.93,-5.58,-3.93,9706.0,3.7,21.2,63.7
2021-10-21,国际医学,000516,2021-10-22,12.23,2021-10-25,12.28,0.41,-5.97,-2.78,19503.0,4.9,21.6,55.3
2021-11-04,东山精密,002384,2021-11-05,23.98,2021-11-08,23.75,-0.96,5.25,2.79,16297.0,4.6,13.0,73.0
2021-12-08,和而泰,002402,2021-12-09,26.92,2021-12-10,26.29,-2.34,-2.3,-1.04,6542.0,5.0,17.6,65.1
2022-01-04,钒钛股份,000629,2022-01-05,4.3,2022-01-06,4.26,-0.93,2.33,-8.6,17903.0,4.9,12.3,62.5
2022-07-04,新希望,000876,2022-07-05,17.08,2022-07-06,16.81,-1.58,1.87,-1.23,19712.0,3.1,22.0,69.2
2022-07-13,石英股份,603688,2022-07-14,79.84,2022-07-15,84.0,5.21,-2.76,2.64,6339.0,3.8,29.2,58.2
2022-08-30,长飞光纤,601869,2022-08-31,41.49,2022-09-01,38.51,-7.18,7.3,-5.83,10484.0,3.3,24.8,69.1
2022-09-20,钧达股份,002865,2022-09-21,135.72,2022-09-22,130.29,-4.0,4.57,5.95,7192.0,4.6,15.8,57.6
2022-11-03,沪电股份,002463,2022-11-04,12.22,2022-11-07,12.47,2.05,-1.88,4.5,9931.0,4.7,20.9,74.5
2022-11-04,钒钛股份,000629,2022-11-07,5.45,2022-11-08,5.43,-0.37,-3.67,0.55,23404.0,4.8,14.7,55.3
2022-11-11,东方雨虹,002271,2022-11-14,24.64,2022-11-15,25.66,4.14,-1.46,2.48,14290.0,4.6,16.4,73.8
2022-12-22,中公教育,002607,2022-12-23,5.7,2022-12-26,5.6,-1.75,-16.49,-14.04,8356.0,3.7,12.0,68.1
2023-02-10,新华医疗,600587,2023-02-13,21.08,2023-02-14,21.54,2.18,-0.05,-1.19,14518.0,4.2,24.5,70.1
2023-02-22,太极股份,002368,2023-02-23,41.25,2023-02-24,38.06,-7.73,1.92,3.64,6440.0,4.4,17.9,56.6
2023-03-09,紫光股份,000938,2023-03-10,26.87,2023-03-13,26.63,-0.89,-1.45,16.38,17601.0,3.0,15.0,69.8
2023-03-13,千方科技,002373,2023-03-14,11.94,2023-03-15,11.97,0.25,2.18,13.23,7340.0,3.4,13.4,58.3
2023-03-28,中油资本,000617,2023-03-29,6.56,2023-03-30,6.03,-8.08,3.35,10.21,15858.0,4.0,18.5,59.4
2023-04-03,紫光股份,000938,2023-04-04,32.13,2023-04-06,33.71,4.92,-4.01,-1.71,22746.0,4.1,23.9,69.9
