上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,3日涨%,10日涨%,净买万,换手%,MA20比,RSI
2026-01-05,盐湖股份,000792,2026-01-06,32.0,2026-01-07,32.35,1.09,-2.25,6.47,13275.0,3.1,1.15,77.0
2026-01-12,金隅集团,601992,2026-01-13,2.1,2026-01-14,2.34,11.43,-9.52,-3.81,9414.0,3.1,1.14,77.6
2026-01-22,中国一重,601106,2026-01-23,5.78,2026-01-26,6.0,3.81,-6.23,-12.28,19131.0,3.1,1.12,65.3
2026-02-02,卫星化学,002648,2026-02-03,22.02,2026-02-04,22.24,1.0,1.09,4.13,25221.0,4.1,1.07,68.1
2026-02-12,金开新能,600821,2026-02-13,6.52,2026-02-24,6.46,-0.92,3.07,45.09,30540.0,3.7,1.14,71.9
2026-02-24,三友化工,600409,2026-02-25,8.5,2026-02-26,8.8,3.53,2.71,7.88,8926.0,4.0,1.09,62.9
2026-03-10,石化油服,600871,2026-03-11,3.43,2026-03-12,3.55,3.5,-2.33,-13.99,6893.0,3.9,1.04,57.5
2026-03-17,酒钢宏兴,600307,2026-03-18,2.27,2026-03-19,2.4,5.73,-8.81,-12.78,21852.0,3.2,1.14,62.3
2026-04-01,爱建集团,600643,2026-04-02,5.2,2026-04-03,5.34,2.69,1.54,-3.08,7521.0,4.2,1.04,58.7
2026-04-21,苏州高新,600736,2026-04-22,7.32,2026-04-23,8.37,14.34,4.51,35.38,6465.0,4.3,1.13,71.4
2026-05-07,肇民科技,301000,2026-05-08,33.34,2026-05-11,34.72,4.14,9.81,7.74,6424.0,4.5,1.12,63.1
