上榜日,股票,代码,买日,买价,卖日,卖价,盈亏%,净买万,换手%,20日涨,RSI,连板
2025-10-21,深振业A,000006,2025-10-22,13.75,2025-10-23,14.44,5.02,9271.0,7.1,77,73,1
2025-03-27,深振业A,000006,2025-03-28,7.58,2025-03-31,7.8,2.9,4992.0,7.9,11,72,1
2024-08-08,深物业A,000011,2024-08-09,8.1,2024-08-12,9.33,15.19,3134.0,5.4,13,72,1
2025-03-31,特力A,000025,2025-04-01,17.94,2025-04-02,17.88,-0.33,3879.0,7.4,12,68,1
2023-03-16,国药一致,000028,2023-03-17,30.44,2023-03-20,31.1,2.17,7300.0,3.3,28,84,1
2025-08-01,深桑达A,000032,2025-08-04,24.73,2025-08-05,25.56,3.36,19320.0,6.9,23,73,1
2024-01-29,深南电A,000037,2024-01-30,10.69,2024-01-31,12.35,15.53,5170.0,9.7,25,72,1
2025-11-26,中集集团,000039,2025-11-27,9.27,2025-11-28,8.99,-3.02,22816.0,8.5,14,72,1
2024-06-28,德赛电池,000049,2024-07-01,23.8,2024-07-02,23.24,-2.35,5997.0,3.9,11,69,1
2024-10-10,中成股份,000151,2024-10-11,12.92,2024-10-14,12.38,-4.18,3451.0,7.8,38,73,1
2024-03-28,吉林化纤,000420,2024-03-29,3.78,2024-04-01,3.85,1.85,3209.0,4.7,38,70,1
2023-02-20,徐工机械,000425,2023-02-21,6.42,2023-02-22,6.69,4.21,6059.0,7.3,18,73,1
2025-06-25,中兵红箭,000519,2025-06-26,20.01,2025-06-27,19.71,-1.5,20166.0,9.7,15,68,1
2025-09-26,万向钱潮,000559,2025-09-29,12.01,2025-09-30,13.15,9.49,28628.0,5.0,48,74,1
2025-04-02,万向钱潮,000559,2025-04-03,7.19,2025-04-07,6.91,-3.89,10947.0,5.1,13,59,1
2023-03-14,烽火电子,000561,2023-03-15,11.28,2023-03-16,10.84,-3.9,3360.0,7.3,6,74,1
2025-09-02,供销大集,000564,2025-09-03,2.62,2025-09-04,2.59,-1.15,25811.0,5.4,17,76,1
2024-09-20,供销大集,000564,2024-09-23,1.8,2024-09-24,1.78,-1.11,7339.0,3.3,10,70,1
2024-06-04,供销大集,000564,2024-06-05,2.13,2024-06-06,2.1,-1.41,8866.0,3.2,9,62,1
2023-11-10,海马汽车,000572,2023-11-13,5.1,2023-11-14,5.34,4.71,3940.0,9.0,12,78,1
2023-05-22,建投能源,000600,2023-05-23,6.92,2023-05-24,6.76,-2.31,3385.0,8.4,28,71,1
