上榜日,股票,代码,买价,卖价,盈亏%,净买万,20日涨,RSI,换手
2026-05-18,深科技,000021,36.82,38.16,3.64,45613.0,31,80,6.016
2026-05-11,深圳华强,000062,39.5,35.88,-9.16,47508.0,38,72,8.3235
2025-09-26,万向钱潮,000559,12.01,13.15,9.49,28628.0,48,74,5.0255
2025-09-02,供销大集,000564,2.62,2.59,-1.15,25811.0,17,76,5.3631
2025-08-19,中油资本,000617,9.77,10.71,9.62,26485.0,5,65,4.7302
2026-06-04,京东方A,000725,6.06,6.43,6.11,147332.0,46,79,9.1438
2026-04-16,大族激光,002008,88.28,88.47,0.22,9133.0,33,78,5.255
2026-02-27,拓维信息,002261,36.49,36.17,-0.88,56731.0,9,74,8.1707
2025-07-10,晶澳科技,002459,12.09,11.62,-3.89,18229.0,19,81,6.4815
2025-08-18,领益智造,002600,11.37,12.63,11.08,26552.0,21,84,6.2145
2025-08-20,光启技术,002625,49.8,48.49,-2.63,23720.0,27,71,4.1132
2025-09-15,天赐材料,002709,30.6,29.93,-2.19,29659.0,51,84,4.3096
2026-04-24,恩捷股份,002812,80.24,80.86,0.77,78191.0,10,68,8.0174
2025-11-10,冠城新材,600067,4.67,4.76,1.93,3609.0,48,74,8.128
2025-11-24,开创国际,600097,14.04,12.91,-8.05,3419.0,22,71,9.957
2025-08-28,华升股份,600156,10.19,9.69,-4.91,7325.0,42,73,5.8512
2025-08-20,华升股份,600156,9.0,8.74,-2.89,4697.0,24,80,7.1834
2026-01-16,大唐电信,600198,11.9,10.98,-7.73,26689.0,33,72,9.3855
2026-03-26,安彩高科,600207,6.4,6.6,3.12,3512.0,20,74,8.455
2025-08-19,全柴动力,600218,10.85,10.64,-1.94,4035.0,6,77,3.8655
2026-05-19,万通发展,600246,14.23,14.7,3.3,10941.0,44,77,7.9675
2025-11-26,中恒集团,600252,2.95,2.85,-3.39,4670.0,6,60,4.0558
2026-04-15,海正药业,600267,11.69,11.24,-3.85,7923.0,8,77,4.1154
2025-07-11,抚顺特钢,600399,5.71,5.52,-3.33,24680.0,16,82,9.2358
2025-09-18,红豆股份,600400,3.23,3.63,12.38,9935.0,18,76,5.944
2025-12-29,杭萧钢构,600477,2.83,2.82,-0.35,7200.0,5,68,6.2434
2025-08-19,华丽家族,600503,3.38,3.6,6.51,5410.0,21,78,6.8848
2025-07-24,海南机场,600515,4.4,4.15,-5.68,9545.0,19,75,3.2486
2026-03-16,卓郎智能,600545,4.43,4.61,4.06,7411.0,65,70,9.8213
2025-09-10,卓郎智能,600545,3.05,3.15,3.28,4697.0,18,64,4.2737
2026-03-17,安阳钢铁,600569,2.77,2.69,-2.89,4277.0,16,58,3.0255
2026-01-20,城投控股,600649,5.2,5.3,1.92,4772.0,18,75,3.5819
2025-07-25,飞乐音响,600651,4.98,4.89,-1.81,5591.0,14,80,3.9536
2026-01-20,中华企业,600675,2.97,2.97,0.0,4530.0,10,78,3.2239
2026-01-16,三安光电,600703,15.93,15.66,-1.69,55237.0,20,68,6.5027
2026-04-27,彩虹股份,600707,8.91,8.5,-4.6,7232.0,56,79,4.8308
2026-04-17,彩虹股份,600707,8.27,8.68,4.96,9262.0,29,82,3.305
2026-04-21,苏州高新,600736,7.32,8.37,14.34,6465.0,19,71,4.2954
2025-08-05,马钢股份,600808,3.8,4.1,7.89,9457.0,9,66,3.2823
2026-02-04,恒源煤电,600971,6.87,6.63,-3.49,3728.0,12,72,4.7798
2025-09-05,中国电影,600977,15.27,17.21,12.7,7092.0,9,67,5.3583
2026-05-25,贵广网络,600996,9.48,9.52,0.42,4608.0,11,64,3.7119
2026-02-24,陕西黑猫,601015,4.84,4.99,3.1,5374.0,27,65,5.4573
2025-12-19,中国一重,601106,4.0,4.2,5.0,14561.0,26,67,3.0743
2025-11-19,英利汽车,601279,5.75,6.36,10.61,4735.0,18,74,3.0595
2026-02-05,浙文影业,601599,5.38,5.15,-4.28,6175.0,23,80,3.9976
2025-10-09,中国核建,601611,10.02,10.9,8.78,4250.0,11,74,4.0551
2026-03-31,京运通,601908,5.0,4.74,-5.2,33074.0,27,69,8.1512
2025-09-02,京运通,601908,4.26,4.25,-0.23,7370.0,13,74,5.9035
2025-09-08,招商南油,601975,3.28,3.26,-0.61,10151.0,16,82,9.2111
2026-01-22,金隅集团,601992,2.1,2.15,2.38,3431.0,24,63,5.0157
2025-12-02,恒银科技,603106,13.34,12.81,-3.97,9223.0,30,65,5.5759
2025-11-27,赛伍技术,603212,13.29,13.33,0.3,9967.0,15,61,8.2936
2026-01-08,福华尚纬,603333,9.2,8.83,-4.02,5171.0,14,69,8.3275
2025-08-26,傲农生物,603363,4.36,4.8,10.09,4386.0,8,80,4.9127
2025-08-27,翔港科技,603499,14.2,13.74,-3.24,4361.0,27,67,4.294
2025-10-27,新日股份,603787,13.82,13.73,-0.65,3780.0,15,80,4.8969
2025-07-29,福斯特,603806,14.79,14.57,-1.49,13971.0,13,57,4.5855
2026-01-20,苏博特,603916,12.43,11.63,-6.44,12046.0,24,77,4.9653
2026-03-18,欧林生物,688319,31.0,31.0,0.0,4221.0,28,62,4.2751
2025-07-29,*ST禾信,688622,96.73,98.16,1.48,3353.0,16,79,4.0519
